Date,Stock
2022-01-01,0.9934283060224653
2022-01-02,0.009538178436804157
2022-01-03,1.8674851343151138
2022-01-04,3.9041580489323193
2022-01-05,0.6757053845649275
2022-01-06,0.9615500797888712
2022-01-07,4.873934118251958
2022-01-08,3.535909682802581
2022-01-09,1.3474450886964195
2022-01-10,3.656664190493335
2022-01-11,1.9296303352824635
2022-01-12,2.209674042075707
2022-01-13,3.909447042475165
2022-01-14,-0.11695292429476822
2022-01-15,0.5435281650036852
2022-01-16,3.1521914170989893
2022-01-17,2.53412854700168
2022-01-18,5.470906829593593
2022-01-19,3.308557972239024
2022-01-20,2.5817409057912397
2022-01-21,8.618912035813674
2022-01-22,5.516828009908787
2022-01-23,6.383679123829213
2022-01-24,3.678820658791122
2022-01-25,5.7186744969795
2022-01-26,7.3078131924813166
2022-01-27,5.061890807907551
2022-01-28,8.392542745393397
2022-01-29,6.716473974676646
2022-01-30,7.61028170099239
2022-01-31,7.265464526341093
2022-02-01,12.4479110882784
2022-02-02,8.990083587351883
2022-02-03,7.1746039997796975
2022-02-04,11.207266390044477
2022-02-05,7.391821481513544
2022-02-06,10.521728557278516
2022-02-07,6.454293187044266
2022-02-08,7.986012252778769
2022-02-09,11.303956213942586
2022-02-10,12.654094664441708
2022-02-11,11.785884367554848
2022-02-12,11.476876526434912
2022-02-13,11.37001070298615
2022-02-14,9.27821985538348
2022-02-15,11.057603218468818
2022-02-16,11.837005569489298
2022-02-17,15.132464643917395
2022-02-18,13.964321693956851
2022-02-19,10.008780127757309
2022-02-20,14.4396969811824
2022-02-21,13.276909573587057
2022-02-22,12.947635254741959
2022-02-23,15.778080861465623
2022-02-24,16.868804485865283
2022-02-25,16.920255533269202
2022-02-26,13.628947720066796
2022-02-27,14.93742838012661
2022-02-28,16.46561889097952
2022-03-01,18.000175711882356
2022-03-02,15.335471315688435
2022-03-03,16.16596382032035
2022-03-04,14.566788577709158
2022-03-05,14.62792430155548
2022-03-06,18.88495837708614
2022-03-07,20.210634405402864
2022-03-08,17.591048820852514
2022-03-09,19.977705736710714
2022-03-10,18.928128488678443
2022-03-11,17.147468908685735
2022-03-12,19.391977355131452
2022-03-13,21.975353422641415
2022-03-14,19.056329858915813
2022-03-15,22.48456989310378
2022-03-16,14.341683924780039
2022-03-17,21.44945392811195
2022-03-18,20.202793824750618
2022-03-19,19.652304908325803
2022-03-20,20.654023828933106
2022-03-21,16.7141038783265
2022-03-22,20.46718857568302
2022-03-23,21.836594226783955
2022-03-24,24.29253530145297
2022-03-25,20.513122038889474
2022-03-26,20.144123841303287
2022-03-27,20.96757544730069
2022-03-28,24.01039921614004
2022-03-29,23.04412708486015
2022-03-30,21.532656698243745
2022-03-31,23.82278492242513
2022-04-01,23.192997608595533
2022-04-02,25.137243679746728
2022-04-03,21.995477105518987
2022-04-04,22.942407110241252
2022-04-05,23.010182271660852
2022-04-06,21.062555908062723
2022-04-07,24.775535062900005
2022-04-08,24.89763709986327
2022-04-09,24.576511159621994
2022-04-10,24.286396053216983
2022-04-11,22.112646467060877
2022-04-12,24.288450104288437
2022-04-13,24.629203726846377
2022-04-14,23.893513919784212
2022-04-15,25.357481329829824
2022-04-16,26.668692696774386
2022-04-17,29.81206071754138
2022-04-18,26.566508368484424
2022-04-19,26.908689866382012
2022-04-20,26.419513151619892
2022-04-21,22.90426546946277
2022-04-22,26.86077796605367
2022-04-23,27.204867151359213
2022-04-24,32.18010388016047
2022-04-25,27.03673168140322
2022-04-26,28.191012814964196
2022-04-27,27.683599611060597
2022-04-28,25.57942293638436
2022-04-29,30.36484208270459
2022-04-30,29.744152678521015
2022-05-01,29.982124913953772
2022-05-02,26.739756683957133
2022-05-03,31.521299262121758
2022-05-04,26.067908723164575
2022-05-05,30.19995947436586
2022-05-06,33.56053864871314
2022-05-07,27.35069834335817
2022-05-08,28.35009479802404
2022-05-09,29.831702461780008
2022-05-10,28.77396301068068
2022-05-11,26.826922413261308
2022-05-12,30.211546156447262
2022-05-13,28.094835636500505
2022-05-14,31.310518998930405
2022-05-15,28.667261585775375
2022-05-16,33.74765658046751
2022-05-17,29.221877983707337
2022-05-18,30.283795018124543
2022-05-19,32.69344056917423
2022-05-20,28.74213841451717
2022-05-21,31.795239190275925
2022-05-22,34.090067294610286
2022-05-23,28.395307097060364
2022-05-24,32.11308179004378
2022-05-25,32.396188588313485
2022-05-26,33.571766059679234
2022-05-27,29.665024839706202
2022-05-28,29.627948113353074
2022-05-29,33.44182944328468
2022-05-30,33.120171539169625
2022-05-31,33.15463594150142
2022-06-01,33.473208374073224
2022-06-02,31.546159624071898
2022-06-03,33.495870929865454
2022-06-04,33.741942484966685
2022-06-05,31.850830631489558
2022-06-06,37.13414294404199
2022-06-07,34.47266754167134
2022-06-08,31.26417279967281
2022-06-09,35.081058600549994
2022-06-10,31.93917648556518
2022-06-11,35.58273786113375
2022-06-12,36.445252721368476
2022-06-13,32.605677774419235
2022-06-14,36.29228746316778
2022-06-15,35.30912595024045
2022-06-16,36.24527369598506
2022-06-17,38.511913428947935
2022-06-18,34.344334670398936
2022-06-19,33.44405602243808
2022-06-20,33.28857571794793
2022-06-21,33.55174387903701
2022-06-22,35.1446295097996
2022-06-23,36.09633901432587
2022-06-24,36.082377583259415
2022-06-25,37.29810738533496
2022-06-26,35.78429881936429
2022-06-27,38.77975190340063
2022-06-28,35.457618729691404
2022-06-29,41.5414047200082
2022-06-30,37.46644586055267
2022-07-01,34.6147770883031
2022-07-02,34.30124998832122
2022-07-03,37.52190984604294
2022-07-04,36.22398222821264
2022-07-05,38.21288982316153
2022-07-06,37.84540886231813
2022-07-07,36.86740977851893
2022-07-08,35.4337288147772
2022-07-09,34.2120105150198
2022-07-10,36.46322920860306
2022-07-11,39.183801604047574
2022-07-12,38.01415242356783
2022-07-13,35.20968951394821
